Date,High,Low,Open,Close,Volume
"May 26, 2020",324.24,316.5,323.5,316.73,"3,13,80,500"
"May 22, 2020",319.23,315.35,315.77,318.89,"2,04,50,800"
"May 21, 2020",320.89,315.87,318.66,316.85,"2,56,72,200"
"May 20, 2020",319.52,316.52,316.68,319.23,"2,78,76,200"
"May 19, 2020",318.52,313.01,315.03,313.14,"2,54,32,400"
"May 18, 2020",316.5,310.32,313.17,314.96,"3,38,43,100"
"May 15, 2020",307.9,300.21,300.35,307.71,"4,15,87,100"
"May 14, 2020",309.79,301.53,304.51,309.54,"3,97,32,300"
"May 13, 2020",315.95,303.21,312.15,307.65,"5,01,55,600"
"May 12, 2020",319.69,310.91,317.83,311.41,"4,05,75,300"
"May 11, 2020",317.05,307.24,308.1,315.01,"3,64,05,900"
"May 08, 2020",310.35,304.29,305.64,310.13,"3,35,12,000"
"May 07, 2020",305.17,301.97,303.22,303.74,"2,88,03,800"
"May 06, 2020",303.24,298.87,300.46,300.63,"3,55,83,400"
"May 05, 2020",301,294.46,295.06,297.56,"3,69,37,800"
"May 04, 2020",293.69,286.32,289.17,293.16,"3,33,92,000"
"May 01, 2020",299,285.85,286.25,289.07,"6,01,54,200"
"Apr 30, 2020",294.53,288.35,289.96,293.8,"4,54,57,600"
"Apr 29, 2020",289.67,283.89,284.73,287.73,"3,43,20,200"
"Apr 28, 2020",285.83,278.2,285.08,278.58,"2,80,01,200"
"Apr 27, 2020",284.54,279.95,281.8,283.17,"2,92,71,900"
"Apr 24, 2020",283.01,277,277.2,282.97,"3,16,27,200"
"Apr 23, 2020",281.75,274.87,275.87,275.03,"3,12,03,600"
"Apr 22, 2020",277.9,272.2,273.61,276.1,"2,92,64,300"
"Apr 21, 2020",277.25,265.43,276.28,268.37,"4,52,47,900"
"Apr 20, 2020",281.68,276.85,277.95,276.93,"3,25,03,800"
"Apr 17, 2020",286.95,276.86,284.69,282.8,"5,38,12,500"
"Apr 16, 2020",288.2,282.35,287.38,286.69,"3,92,81,300"
"Apr 15, 2020",286.33,280.63,282.4,284.43,"3,27,88,600"
"Apr 14, 2020",288.25,278.05,280,287.05,"4,87,48,700"
"Apr 13, 2020",273.7,265.83,268.31,273.25,"3,27,55,700"
"Apr 09, 2020",270.07,264.7,268.7,267.99,"4,05,29,100"
"Apr 08, 2020",267.37,261.23,262.74,266.07,"4,22,23,800"
"Apr 07, 2020",271.7,259,270.8,259.43,"5,07,21,800"
"Apr 06, 2020",263.11,249.38,250.9,262.47,"5,04,55,100"
"Apr 03, 2020",245.7,238.97,242.8,241.41,"3,24,70,000"
"Apr 02, 2020",245.15,236.9,240.34,244.93,"4,14,83,500"
"Apr 01, 2020",248.72,239.13,246.5,240.91,"4,40,54,600"
"Mar 31, 2020",262.49,252,255.6,254.29,"4,92,50,500"
"Mar 30, 2020",255.52,249.4,250.74,254.81,"4,19,94,100"
"Mar 27, 2020",255.87,247.05,252.75,247.74,"5,10,54,200"
"Mar 26, 2020",258.68,246.36,246.52,258.44,"6,30,21,800"
"Mar 25, 2020",258.25,244.3,250.75,245.52,"7,59,00,500"
"Mar 24, 2020",247.69,234.3,236.36,246.88,"7,18,82,800"
"Mar 23, 2020",228.5,212.61,228.08,224.37,"8,41,88,200"
"Mar 20, 2020",251.83,228,247.18,229.24,"10,04,23,300"
"Mar 19, 2020",252.84,242.61,247.39,244.78,"6,79,64,300"
"Mar 18, 2020",250,237.12,239.77,246.67,"7,50,58,400"
"Mar 17, 2020",257.61,238.4,247.51,252.86,"8,10,14,000"
"Mar 16, 2020",259.08,240,241.95,242.21,"8,06,05,900"
"Mar 13, 2020",279.92,252.95,264.89,277.97,"9,26,83,000"
"Mar 12, 2020",270,248,255.94,248.23,"10,46,18,500"
"Mar 11, 2020",281.22,271.86,277.39,275.43,"6,38,99,700"
"Mar 10, 2020",286.44,269.37,277.14,285.34,"7,13,22,500"
"Mar 09, 2020",278.09,263,263.75,266.17,"7,16,86,200"
"Mar 06, 2020",290.82,281.23,282,289.03,"5,65,44,200"
"Mar 05, 2020",299.55,291.41,295.52,292.92,"4,68,93,200"
"Mar 04, 2020",303.4,293.13,296.44,302.74,"5,47,94,600"
"Mar 03, 2020",304,285.8,303.67,289.32,"7,98,68,900"
"Mar 02, 2020",301.44,277.72,282.28,298.81,"8,53,49,300"
"Feb 28, 2020",278.41,256.37,257.26,273.36,"10,67,21,200"
"Feb 27, 2020",286,272.96,281.1,273.52,"7,98,34,500"
"Feb 26, 2020",297.88,286.5,286.53,292.65,"4,95,13,700"
"Feb 25, 2020",302.53,286.13,300.95,288.08,"5,76,68,400"
"Feb 24, 2020",304.18,289.23,297.26,298.18,"5,55,48,800"
"Feb 21, 2020",320.45,310.5,318.62,313.05,"3,23,88,500"
"Feb 20, 2020",324.65,318.21,322.63,320.3,"2,51,41,500"
"Feb 19, 2020",324.57,320,320,323.62,"2,34,96,000"
"Feb 18, 2020",319.75,314.61,315.36,319,"3,81,32,800"
"Feb 14, 2020",325.98,322.85,324.74,324.95,"2,00,28,400"
"Feb 13, 2020",326.22,323.35,324.19,324.87,"2,36,86,900"
"Feb 12, 2020",327.22,321.47,321.47,327.2,"2,84,32,600"
"Feb 11, 2020",323.9,318.71,323.6,319.61,"2,35,80,800"
"Feb 10, 2020",321.55,313.85,314.18,321.55,"2,73,37,200"
"Feb 07, 2020",323.4,318,322.37,320.03,"2,94,21,000"
