Date,High,Low,Open,Close,Volume
03/01/20,1373.75,1347.319946,1348,1361.52002,1170400
06/01/20,1398.319946,1351,1351.630005,1397.810059,2338400
07/01/20,1403.5,1391.560059,1400.459961,1395.109985,1716500
08/01/20,1411.849976,1392.630005,1394.819946,1405.040039,1765700
09/01/20,1428.680054,1410.209961,1421.930054,1419.790039,1660000
10/01/20,1434.939941,1419.599976,1429.469971,1428.959961,1312900
13/01/20,1441.47998,1425.369995,1435.25,1440.030029,1536500
14/01/20,1442.630005,1427.77002,1440,1430.589966,1303800
15/01/20,1440.780029,1431.660034,1433.02002,1439.199951,1077500
16/01/20,1450.699951,1440,1445.449951,1450.160034,1304000
17/01/20,1480.550049,1456.550049,1462.540039,1479.52002,2621200
21/01/20,1489.880005,1470.209961,1479,1482.25,2446500
22/01/20,1500.579956,1482.660034,1489.72998,1483.869995,1422900
23/01/20,1493.5,1480.319946,1487.550049,1484.689941,1332500
24/01/20,1494.199951,1463.180054,1492.819946,1466.170044,1489300
27/01/20,1436.579956,1419.5,1431.540039,1431.72998,1706600
28/01/20,1454.800049,1430.359985,1441.73999,1450.5,1486200
29/01/20,1464.140015,1445.390015,1458.459961,1456.699951,1078300
30/01/20,1455.25,1435,1438.099976,1454.25,1355500
31/01/20,1469.670044,1427.060059,1467.859985,1432.780029,2191100
03/02/20,1486.300049,1456.609985,1461.650024,1482.599976,3608800
04/02/20,1467.339966,1422.030029,1454.48999,1445.410034,4794000
05/02/20,1464.579956,1429.680054,1463.609985,1446.050049,1818800
06/02/20,1481.560059,1450.47998,1451.97998,1475.969971,1891100
07/02/20,1485.25,1465.410034,1467.390015,1479.109985,1418000
10/02/20,1508.880005,1475.199951,1477.22998,1508.660034,1915100
11/02/20,1529.880005,1505.449951,1513.27002,1510.060059,1742600
12/02/20,1520.300049,1508.670044,1515.859985,1518.630005,1552100
13/02/20,1525.949951,1504,1510,1513.390015,1145700
14/02/20,1520.050049,1505.550049,1514.530029,1518.72998,1159900
18/02/20,1530.560059,1511.01001,1514.339966,1519.439941,1282100
19/02/20,1530.73999,1520.97998,1527.199951,1524.869995,1137300
20/02/20,1527.069946,1504.26001,1519.01001,1516.98999,1298100
21/02/20,1510.949951,1478.48999,1504.579956,1483.459961,2126000
24/02/20,1436.380005,1406.790039,1423.050049,1419.859985,2478000
25/02/20,1436.849976,1380.420044,1431,1386.319946,2579000
26/02/20,1413.670044,1376.550049,1394.97998,1390.469971,2488800
27/02/20,1369.400024,1314.23999,1359.140015,1314.949951,3110900
28/02/20,1342.449951,1268.209961,1274.310059,1339.25,4010900
02/03/20,1387.469971,1325.199951,1351.390015,1386.319946,2771500
03/03/20,1408.189941,1329.23999,1397.680054,1337.719971,2830100
04/03/20,1382.780029,1337,1358.959961,1381.599976,2379900
05/03/20,1353.630005,1301.640015,1345.550049,1314.76001,2719000
06/03/20,1302.75,1257.209961,1269.949951,1295.73999,3232000
09/03/20,1252.72998,1198.040039,1204.959961,1215.790039,3462600
10/03/20,1275.849976,1214.51001,1254.390015,1275.170044,2743600
11/03/20,1256.930054,1191.140015,1248.27002,1210.900024,2736600
12/03/20,1188.75,1108.469971,1122.619995,1111.550049,4716300
13/03/20,1214.400024,1112.290039,1174.98999,1214.27002,3970000
16/03/20,1145.469971,1067.079956,1089.609985,1073,4826000
17/03/20,1126,1049.099976,1090.640015,1118.060059,4159700
18/03/20,1104.98999,1037,1059.939941,1091.189941,4652200
19/03/20,1152.609985,1055.550049,1088.219971,1111.670044,3703200
20/03/20,1138.47998,1062.099976,1130.900024,1068.209961,4143900
23/03/20,1066.910034,1008.869995,1056.369995,1054.130005,4183600
24/03/20,1133.329956,1086.430054,1103.97998,1130.01001,3623400
25/03/20,1146.170044,1083.01001,1124.579956,1101.619995,4516200
26/03/20,1171.47998,1092.030029,1114.719971,1162.920044,3828100
27/03/20,1151.050049,1104,1127.469971,1110.26001,3139700
30/03/20,1151,1098.48999,1132.640015,1146.310059,2936800
31/03/20,1173.400024,1136.719971,1148.72998,1161.949951,3261400
01/04/20,1129.420044,1093.48999,1124,1102.099976,2598500
02/04/20,1122.77002,1093.130005,1100,1117.030029,2820500
03/04/20,1118.790039,1075.079956,1114.709961,1092.699951,2568700
06/04/20,1190.75,1125,1133,1183.189941,3166000
07/04/20,1220.780029,1177.25,1217.01001,1182.560059,3081000
08/04/20,1214.900024,1183.949951,1203.099976,1207,2016700
09/04/20,1221.98999,1192.420044,1218.180054,1206.569946,2701400
13/04/20,1214.52002,1182.329956,1201.5,1210.410034,1935100
14/04/20,1275.75,1228.540039,1239.969971,1265.22998,3167900
15/04/20,1275.109985,1234,1246.51001,1257.300049,2111800
16/04/20,1273.359985,1238.199951,1267.140015,1257.430054,2894800
17/04/20,1290,1266,1281.699951,1279,2552500
20/04/20,1276.819946,1256.439941,1269.890015,1261.150024,1764600
21/04/20,1250,1205,1242.709961,1212.160034,2482400
22/04/20,1279.880005,1237.199951,1241.109985,1258.410034,2315800
23/04/20,1288.150024,1260.530029,1265.73999,1271.170044,1710100
24/04/20,1277.709961,1244,1255,1276.599976,1872000
27/04/20,1294.099976,1265.060059,1292,1270.859985,2209300
28/04/20,1284.76001,1230.380005,1283.199951,1232.589966,4035000
29/04/20,1360.150024,1326.72998,1345,1342.180054,5417900
30/04/20,1350,1321.5,1331.359985,1346.699951,2789200
01/05/20,1351.430054,1309.660034,1324.089966,1317.319946,2443600
04/05/20,1324.469971,1296.01001,1308.130005,1322.900024,1540300
05/05/20,1371.01001,1335.030029,1337.5,1349.02002,1983300
06/05/20,1368.689941,1345.130005,1358,1345.430054,1586600
07/05/20,1376,1352.540039,1361.310059,1369.280029,1532600
08/05/20,1396.640015,1372.01001,1381.819946,1384.339966,1666300
11/05/20,1415.530029,1375.5,1376.790039,1403.589966,1633700
12/05/20,1414.329956,1374.51001,1408.219971,1375.180054,1695900
13/05/20,1385.329956,1328.01001,1376.160034,1348.329956,2018400
14/05/20,1357.369995,1323.300049,1333.52002,1356.859985,1833000
15/05/20,1374.579956,1339,1348.26001,1373.060059,2077200
18/05/20,1392.76001,1354.199951,1361.579956,1385.180054,2356400
19/05/20,1392.48999,1373.76001,1385.47998,1374.400024,1579300
20/05/20,1412.030029,1387.420044,1389.160034,1409.160034,1913100
21/05/20,1416.459961,1394.390015,1410.98999,1406.75,1544700
22/05/20,1417,1395.949951,1403.900024,1413.23999,1427200
26/05/20,1445.109985,1419.400024,1441.959961,1421.369995,2229500
27/05/20,1425.349976,1394.599976,1420,1420.280029,1584200
28/05/20,1444.459961,1399.079956,1400,1418.23999,1758500
29/05/20,1436.72998,1415.97998,1420.430054,1433.52002,1852200
01/06/20,1441.579956,1422.280029,1425.699951,1434.869995,1258100
02/06/20,1443,1421.609985,1435,1442.310059,1172100
03/06/20,1449.01001,1431.619995,1442.699951,1439.25,1386600
04/06/20,1441.319946,1406.01001,1436.780029,1414.300049,1349100
05/06/20,1446.300049,1407.619995,1415.640015,1440.02002,2132100
08/06/20,1449,1424.47998,1426.280029,1448.040039,1693900
09/06/20,1467.800049,1442.359985,1445.23999,1452.079956,1681200
10/06/20,1472.77002,1454.359985,1461.51001,1464.699951,1588100
11/06/20,1451.599976,1398.410034,1441.030029,1401.900024,2357200
12/06/20,1434.51001,1385.800049,1425.859985,1412.920044,1832900
15/06/20,1425,1387.199951,1389.48999,1420.73999,1523400
16/06/20,1457.170044,1428.98999,1449,1446.469971,1532400
17/06/20,1462.199951,1435.130005,1452.939941,1452.540039,1528300
18/06/20,1452.969971,1426.23999,1449.849976,1434.119995,1743100
19/06/20,1444.5,1419,1440,1424.640015,2639200
22/06/20,1450.949951,1419.189941,1425.01001,1450.660034,1472100
23/06/20,1475.199951,1445,1452,1463.97998,1887600
24/06/20,1475.790039,1430,1463.280029,1432.699951,1579600
25/06/20,1442.319946,1419.540039,1431.219971,1441.099976,1197900
26/06/20,1437.02002,1355,1432.630005,1362.540039,4882000
29/06/20,1398,1351.650024,1360.339966,1397.170044,2253700
30/06/20,1424,1386.930054,1396.880005,1418.050049,2014300
