Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,121.7249984741211,122.58699798583984,121.53150177001953,122.44450378417969,122.44450378417969,18110000
2021-07-02,123.1500015258789,125.40399932861328,123.05950164794922,125.25749969482422,125.25749969482422,25982000
2021-07-06,125.64849853515625,126.4280014038086,124.5824966430664,126.19000244140625,126.19000244140625,26404000
2021-07-07,127.16200256347656,127.28399658203125,126.15299987792969,126.4739990234375,126.4739990234375,24060000
2021-07-08,124.0260009765625,125.59549713134766,124.02200317382812,125.04399871826172,125.04399871826172,23790000
2021-07-09,125.0250015258789,125.7344970703125,124.55149841308594,125.51850128173828,125.51850128173828,18632000
2021-07-12,126.1780014038086,127.06950378417969,125.61100006103516,126.97550201416016,126.97550201416016,17668000
2021-07-13,127.03849792480469,128.0574951171875,126.67449951171875,127.34149932861328,127.34149932861328,19240000
2021-07-14,127.95800018310547,129.32650756835938,127.91449737548828,128.23699951171875,128.23699951171875,23742000
2021-07-15,128.6490020751953,128.6999969482422,126.52999877929688,127.00499725341797,127.00499725341797,24218000
2021-07-16,127.66300201416016,127.8115005493164,126.15350341796875,126.97000122070312,126.97000122070312,20424000
2021-07-19,126.0895004272461,126.20500183105469,123.50499725341797,124.5780029296875,124.5780029296875,27968000
2021-07-20,125.52749633789062,127.04299926757812,124.35050201416016,126.20950317382812,126.20950317382812,26312000
2021-07-21,126.13349914550781,127.59600067138672,126.02349853515625,127.54900360107422,127.54900360107422,20746000
2021-07-22,127.84400177001953,128.48300170898438,127.4990005493164,128.42149353027344,128.42149353027344,14302000
2021-07-23,130.4304962158203,133.3990020751953,129.80050659179688,133.01499938964844,133.01499938964844,41506000
2021-07-26,133.32850646972656,134.23699951171875,132.30149841308594,134.03500366210938,134.03500366210938,30572000
2021-07-27,134.25050354003906,134.3990020751953,130.10400390625,131.89999389648438,131.89999389648438,54710000
2021-07-28,136.31199645996094,138.2969970703125,135.27749633789062,136.093994140625,136.093994140625,95130000
2021-07-29,136.14999389648438,136.66099548339844,135.54299926757812,135.77749633789062,135.77749633789062,31716000
2021-07-30,135.03500366210938,135.30450439453125,134.2550048828125,134.72650146484375,134.72650146484375,25576000
2021-08-02,135.11700439453125,135.3365020751953,133.79400634765625,134.85450744628906,134.85450744628906,21634000
2021-08-03,135.13499450683594,135.73199462890625,133.3195037841797,135.6300048828125,135.6300048828125,20762000
2021-08-04,135.34950256347656,135.64950561523438,134.48699951171875,135.12550354003906,135.12550354003906,19676000
2021-08-05,135.6804962158203,136.35000610351562,134.8459930419922,136.25149536132812,136.25149536132812,17870000
2021-08-06,136.04200744628906,136.47250366210938,135.2100067138672,135.73849487304688,135.73849487304688,20488000
2021-08-09,135.9425048828125,137.1840057373047,135.33949279785156,136.91299438476562,136.91299438476562,17760000
2021-08-10,137.3419952392578,137.7725067138672,136.364501953125,136.8070068359375,136.8070068359375,19414000
2021-08-11,137.18150329589844,137.6824951171875,136.27149963378906,136.2790069580078,136.2790069580078,15352000
2021-08-12,135.97549438476562,137.3000030517578,135.42550659179688,137.19400024414062,137.19400024414062,16506000
2021-08-13,137.25,137.85650634765625,137.0330047607422,137.7274932861328,137.7274932861328,15948000
2021-08-16,137.52499389648438,138.3625030517578,135.2989959716797,138.3094940185547,138.3094940185547,22384000
2021-08-17,137.75,138.2655029296875,136.08200073242188,136.6614990234375,136.6614990234375,21716000
2021-08-18,136.5,137.10450744628906,135.32150268554688,135.44900512695312,135.44900512695312,19258000
2021-08-19,134.4355010986328,136.3524932861328,134.25,135.67999267578125,135.67999267578125,21782000
2021-08-20,136.0,137.5540008544922,135.25,137.42950439453125,137.42950439453125,31194000
2021-08-23,137.96949768066406,140.87449645996094,137.6074981689453,140.04150390625,140.04150390625,28454000
2021-08-24,140.6114959716797,142.0800018310547,140.3385009765625,141.26150512695312,141.26150512695312,19268000
2021-08-25,141.625,142.1894989013672,141.37600708007812,142.07899475097656,142.07899475097656,15848000
2021-08-26,141.75,142.41749572753906,141.35699462890625,141.4405059814453,141.4405059814453,20610000
2021-08-27,141.65249633789062,144.5124969482422,141.4969940185547,144.00399780273438,144.00399780273438,28780000
2021-08-30,144.39999389648438,145.9705047607422,144.16299438476562,144.5904998779297,144.5904998779297,24434000
2021-08-31,145.14700317382812,145.17149353027344,144.281005859375,144.69749450683594,144.69749450683594,22448000
2021-09-01,145.0,146.25399780273438,144.8834991455078,145.2154998779297,145.2154998779297,21936000
2021-09-02,145.21600341796875,145.51950073242188,143.18499755859375,143.28700256347656,143.28700256347656,32342000
2021-09-03,143.08050537109375,144.15499877929688,142.40049743652344,143.739501953125,143.739501953125,19850000
2021-09-07,143.83450317382812,144.56500244140625,143.61900329589844,144.28050231933594,144.28050231933594,20124000
2021-09-08,144.10000610351562,144.39999389648438,143.0,143.6909942626953,143.6909942626953,18344000
2021-09-09,143.8404998779297,144.3105010986328,143.17750549316406,143.54100036621094,143.54100036621094,15314000
2021-09-10,144.21249389648438,144.718505859375,140.73800659179688,140.87600708007812,140.87600708007812,36840000
2021-09-13,141.94949340820312,142.9499969482422,141.25,142.33250427246094,142.33250427246094,22094000
2021-09-14,142.99549865722656,143.36300659179688,141.75,142.54449462890625,142.54449462890625,19674000
2021-09-15,142.77149963378906,144.45050048828125,141.34750366210938,144.42950439453125,144.42950439453125,27408000
2021-09-16,143.95050048828125,144.3000030517578,142.40150451660156,143.61000061035156,143.61000061035156,26190000
2021-09-17,143.03050231933594,143.4499969482422,140.47000122070312,140.8000030517578,140.8000030517578,53384000
2021-09-20,138.1614990234375,139.0,136.32200622558594,138.71949768066406,138.71949768066406,46518000
2021-09-21,139.74949645996094,140.01150512695312,138.2779998779297,139.0330047607422,139.0330047607422,25332000
2021-09-22,139.3040008544922,140.88699340820312,138.55149841308594,140.2834930419922,140.2834930419922,25056000
2021-09-23,140.9875030517578,141.69650268554688,140.40150451660156,141.21600341796875,141.21600341796875,20952000
2021-09-24,140.5384979248047,142.33050537109375,140.24099731445312,142.21499633789062,142.21499633789062,22984000
2021-09-27,140.80450439453125,141.93850708007812,140.0675048828125,141.07200622558594,141.07200622558594,21882000
2021-09-28,138.65499877929688,139.09649658203125,135.36000061035156,135.8300018310547,135.8300018310547,45772000
2021-09-29,136.97999572753906,137.1510009765625,133.86500549316406,134.35350036621094,134.35350036621094,30848000
2021-09-30,134.26150512695312,135.54249572753906,133.55599975585938,133.67599487304688,133.67599487304688,37996000
2021-10-01,134.44749450683594,136.91050720214844,134.072998046875,136.54299926757812,136.54299926757812,35360000
2021-10-04,135.9604949951172,135.9604949951172,131.0500030517578,133.6595001220703,133.6595001220703,51202000
2021-10-05,134.04100036621094,137.22450256347656,134.04100036621094,136.0229949951172,136.0229949951172,32404000
2021-10-06,134.75,137.75,134.5500030517578,137.56500244140625,137.56500244140625,24364000
2021-10-07,138.89199829101562,140.04200744628906,138.6510009765625,139.22500610351562,139.22500610351562,25110000
2021-10-08,139.57699584960938,140.33099365234375,139.21749877929688,139.78550720214844,139.78550720214844,26526000
2021-10-11,139.29200744628906,140.71200561523438,138.85899353027344,138.91400146484375,138.91400146484375,17954000
2021-10-12,139.47999572753906,139.5070037841797,135.75999450683594,136.44900512695312,136.44900512695312,36332000
2021-10-13,137.40249633789062,138.0,136.5189971923828,137.58200073242188,137.58200073242188,19654000
2021-10-14,139.4739990234375,141.33749389648438,138.8249969482422,141.1510009765625,141.1510009765625,31894000
2021-10-15,141.614501953125,141.71800231933594,140.7550048828125,141.3679962158203,141.3679962158203,30274000
2021-10-18,141.07650756835938,142.79600524902344,141.0695037841797,142.7779998779297,142.7779998779297,20396000
2021-10-19,143.3874969482422,143.66250610351562,142.60000610351562,143.23699951171875,143.23699951171875,20164000
2021-10-20,143.33799743652344,143.54600524902344,141.37649536132812,141.7689971923828,141.7689971923828,23288000
2021-10-21,141.7689971923828,142.156005859375,140.5,141.88600158691406,141.88600158691406,26292000
2021-10-22,139.14999389648438,140.58299255371094,136.05599975585938,137.56649780273438,137.56649780273438,50588000
2021-10-25,137.5500030517578,138.0,135.4239959716797,137.44700622558594,137.44700622558594,34412000
2021-10-26,139.2635040283203,140.08299255371094,138.30450439453125,139.30850219726562,139.30850219726562,49236000
2021-10-27,139.40499877929688,148.64999389648438,139.40499877929688,146.21749877929688,146.21749877929688,85782000
2021-10-28,147.13450622558594,147.1580047607422,144.6269989013672,145.8489990234375,145.8489990234375,36206000
2021-10-29,145.0780029296875,148.24200439453125,144.64950561523438,148.04600524902344,148.04600524902344,43320000
2021-11-01,148.04600524902344,148.04600524902344,143.22549438476562,143.4969940185547,143.4969940185547,46924000
2021-11-02,144.57949829101562,146.60899353027344,144.3354949951172,145.4324951171875,145.4324951171875,33482000
2021-11-03,145.90049743652344,146.66900634765625,144.59100341796875,146.59800720214844,146.59800720214844,27494000
2021-11-04,147.12449645996094,149.73350524902344,146.30799865722656,148.2675018310547,148.2675018310547,38412000
2021-11-05,149.16949462890625,150.32749938964844,148.19700622558594,148.8520050048828,148.8520050048828,38354000
2021-11-08,149.8249969482422,150.61500549316406,148.4304962158203,149.031005859375,149.031005859375,23052000
2021-11-09,149.23300170898438,149.83450317382812,147.2449951171875,148.9185028076172,148.9185028076172,19530000
2021-11-10,147.5,148.07000732421875,144.53750610351562,145.89349365234375,145.89349365234375,29970000
2021-11-11,146.489501953125,147.53550720214844,145.60049438476562,145.76649475097656,145.76649475097656,16518000
2021-11-12,146.61549377441406,148.85000610351562,145.41099548339844,148.67799377441406,148.67799377441406,22360000
2021-11-15,148.90049743652344,149.54949951171875,147.5749969482422,148.45199584960938,148.45199584960938,23508000
2021-11-16,148.14950561523438,148.7624969482422,147.3125,147.87600708007812,147.87600708007812,18904000
